title,imdb_id
Iron Man,tt0371746
The Incredible Hulk,tt0371746
Iron Man 2,tt0371746
Thor,tt0800369
Captain America: The First Avenger,tt0458339
Marvel's The Avengers,tt0848228
Iron Man 3,tt1300854
Thor: The Dark World,tt1981115
Captain America: The Winter Soldier,tt1843866
Guardians of the Galaxy,tt2015381
Avengers: Age of Ultron,tt2395427
Ant-Man,tt0478970
Captain America: Civil War,tt3498820
Doctor Strange,tt1211837
Guardians of the Galaxy VOL.2,tt3896198
Spider-Man: Homecoming,tt2250912
Thor: Ragnarok,tt3501632
Black Panther,tt1825683
Avengers: Infinity War,tt4154756
Ant-Man and the Wasp,tt5095030
Captain Marvel,tt4154664
Avengers: Endgame,tt4154796
